memory.max_usage_in_bytes,own_file,input_1,input_2,chromInfo,own_file_extension,input_1_extension,input_2_extension,chromInfo_extension,dbkey,save_mapping_stats,analysis_type_selector,rg_selector,sam_options_selector
3003498496,0,442177679,442177679,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270462976,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
1630339072,0,236463147,236463147,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
1726574592,0,394479666,394479666,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2806738944,0,442166640,442166640,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2518138880,0,394479666,394479666,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
1083179008,0,140348007,140348007,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
4037169152,0,20181290,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
477249536,0,20181290,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
2577448960,43105,755293688,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
3738886144,43105,1099350276,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2763317248,43105,802151248,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
4288335872,43105,1180683318,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
1840517120,43105,503668679,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
5775515648,43105,1671068494,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
3126611968,43105,882672521,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2843811840,43105,799424097,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
3299663872,43105,901154325,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
1747767296,43105,479732208,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2271813632,43105,617472687,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
1009762304,43105,267101688,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
966332416,43105,260749820,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2283216896,43105,654602224,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
1744248832,43105,502188599,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2117865472,43105,594422217,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2775498752,43105,799417573,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2953584640,43105,845611506,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
1853476864,43105,510247193,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
2785439744,43105,773796256,0,0,fasta,fastqsanger,nan,nan,mm10,True,simple,do_not_set,none
32212635648,253935557,35929623766,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
23507451904,253935557,13301103401,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
14549970944,253935557,6810602448,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
20619386880,253935557,11968509978,0,0,fasta,fastqsanger,nan,nan,?,True,simple,do_not_set,none
18207903744,0,4056170495,4056170495,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
18494398464,0,3962528332,3962528332,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
19827126272,0,4851399754,4851399754,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
20906688512,0,4698313713,4698313713,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
20178350080,0,4908267996,4908267996,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
18245111808,0,4361890956,4361890956,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
22305738752,0,4590024450,4590024450,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
19066097664,0,4560438738,4560438738,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
21759606784,0,5293121157,5293121157,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
23441244160,0,5041337096,5041337096,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
16784617472,0,4371656087,4371656087,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
23215992832,0,5412581041,5412581041,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
17395412992,0,4785878787,4785878787,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
21624651776,0,5146673825,5146673825,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
19222958080,0,3975764054,3975764054,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
17598779392,0,4933757828,4933757828,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
19736932352,0,4444246638,4444246638,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
21655912448,0,4674357436,4674357436,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
20384915456,0,6268498437,6268498437,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
14934749184,0,4143890733,4143890733,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
29537226752,0,8934438934,8934438934,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
23159980032,0,5140227923,5140227923,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
18399784960,0,4913356938,4913356938,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
1438273536,0,192554135,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1433759744,0,190868905,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1427488768,0,188758829,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1449267200,0,197664185,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1443487744,0,195364665,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1447768064,0,197511425,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1438679040,0,193846227,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1445191680,0,195808239,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1429782528,0,188758101,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1434796032,0,191040374,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1432494080,0,190363574,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1444782080,0,193926572,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1456881664,0,197603413,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1429463040,0,189066366,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1434189824,0,191748971,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1419735040,0,185760587,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1388670976,0,174523537,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1103646720,0,193458485,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1405759488,0,183982925,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1434632192,0,192718886,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1458720768,0,203919864,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1423212544,0,190704225,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1456685056,0,201980940,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1450717184,0,202061774,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1446305792,0,196223264,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1470275584,0,205517437,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1454211072,0,200524342,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1473495040,0,208525485,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1443905536,0,197112846,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1453473792,0,200276998,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1476464640,0,209436403,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1433489408,0,192968222,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1468166144,0,205314659,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1415643136,0,186814391,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1474371584,0,207574786,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1466937344,0,206654974,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1486352384,0,212009701,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1143132160,0,195503207,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1440780288,0,198981401,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1422647296,0,199335096,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1453940736,0,201105934,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1471627264,0,207280880,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1145036800,0,208434879,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1444990976,0,203575133,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1462579200,0,203034714,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1553879040,0,238154716,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1541455872,0,232594683,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1545355264,0,233998520,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1548017664,0,236654312,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1518759936,0,225835089,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1526669312,0,227198940,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1534431232,0,231868473,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1540591616,0,231933281,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1542193152,0,236989088,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1571950592,0,246198671,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1539203072,0,235227707,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1531523072,0,228489088,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1495875584,0,217393319,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1509564416,0,220913490,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1518940160,0,223799484,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1526169600,0,227350599,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1549283328,0,235030071,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1542234112,0,232373043,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1542909952,0,232282670,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1510199296,0,226386258,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1574096896,0,249109523,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1583316992,0,250054854,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1540395008,0,236132660,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1526865920,0,229761656,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1498284032,0,220864380,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1493757952,0,217721526,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
1505849344,0,223944272,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
